ensg,symbol,name
ENSG00000211967,IGHV3-53,immunoglobulin heavy variable 3-53
ENSG00000211968,IGHV1-58,immunoglobulin heavy variable 1-58
ENSG00000211970,IGHV4-61,immunoglobulin heavy variable 4-61
ENSG00000211972,IGHV3-66,immunoglobulin heavy variable 3-66
ENSG00000211973,IGHV1-69,immunoglobulin heavy variable 1-69
ENSG00000211974,IGHV2-70D,immunoglobulin heavy variable 2-70D
ENSG00000211976,IGHV3-73,immunoglobulin heavy variable 3-73
ENSG00000211978,IGHV5-78,immunoglobulin heavy variable 5-78 (pseudogene)
ENSG00000211979,IGHV7-81,immunoglobulin heavy variable 7-81 (non-functional)
ENSG00000213413,PVRIG,PVR related immunoglobulin domain containing
ENSG00000215177,IGLV8OR8-1,immunoglobulin lambda variable 8/OR8-1 (pseudogene)
ENSG00000216588,IGSF23,immunoglobulin superfamily member 23
ENSG00000221957,KIR2DS4,"killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 (gene/pseudogene)"
ENSG00000222037,IGLC6,immunoglobulin lambda constant 6
ENSG00000223350,IGLV9-49,immunoglobulin lambda variable 9-49
ENSG00000223648,IGHV3-64,immunoglobulin heavy variable 3-64
ENSG00000223816,IGKV1OR2-2,immunoglobulin kappa variable 1/OR2-2 (pseudogene)
ENSG00000224041,IGKV3D-15,immunoglobulin kappa variable 3D-15
ENSG00000224373,IGHV4-59,immunoglobulin heavy variable 4-59
ENSG00000224607,IGKV1D-27,immunoglobulin kappa variable 1D-27 (pseudogene)
ENSG00000224650,IGHV3-74,immunoglobulin heavy variable 3-74
ENSG00000225380,IGKV1OR9-2,immunoglobulin kappa variable 1/OR9-2 (pseudogene)
ENSG00000225523,IGKV6D-21,immunoglobulin kappa variable 6D-21 (non-functional)
ENSG00000225698,IGHV3-72,immunoglobulin heavy variable 3-72
ENSG00000225825,IGHD6-25,immunoglobulin heavy diversity 6-25
ENSG00000226420,IGLV3-4,immunoglobulin lambda variable 3-4 (pseudogene)
ENSG00000227108,IGHD1-14,immunoglobulin heavy diversity 1-14 (non-functional)
ENSG00000227196,IGHD4-23,immunoglobulin heavy diversity 4-23 (non-functional)
ENSG00000227335,IGHJ1P,immunoglobulin heavy joining 1P (pseudogene)
ENSG00000227800,IGHD4-17,immunoglobulin heavy diversity 4-17
ENSG00000228131,IGHD6-6,immunoglobulin heavy diversity 6-6
ENSG00000228325,IGKV3D-7,immunoglobulin kappa variable 3D-7
ENSG00000229092,IGHV3-47,immunoglobulin heavy variable 3-47 (pseudogene)
ENSG00000230481,IGKV1OR22-5,immunoglobulin kappa variable 1/OR22-5 (pseudogene)
ENSG00000231292,IGKV1OR2-108,immunoglobulin kappa variable 1/OR2-108 (non-functional)
ENSG00000231475,IGHV4-31,immunoglobulin heavy variable 4-31
ENSG00000232216,IGHV3-43,immunoglobulin heavy variable 3-43
ENSG00000232543,IGHD4-11,immunoglobulin heavy diversity 4-11 (non-functional)
ENSG00000232747,IGKV1D-35,immunoglobulin kappa variable 1D-35 (pseudogene)
ENSG00000233655,IGHD4-4,immunoglobulin heavy diversity 4-4
ENSG00000233732,IGHV3OR16-10,immunoglobulin heavy variable 3/OR16-10 (non-functional)
ENSG00000233999,IGKV3OR2-268,immunoglobulin kappa variable 3/OR2-268 (non-functional)
ENSG00000235235,IGKV1OR2-1,immunoglobulin kappa variable 1/OR2-1 (pseudogene)
ENSG00000235333,PVRIG2P,"PVR related immunoglobulin domain containing 2, pseudogene"
ENSG00000236170,IGHD1-1,immunoglobulin heavy diversity 1-1
ENSG00000236597,IGHD7-27,immunoglobulin heavy diversity 7-27
ENSG00000237020,IGHD1-20,immunoglobulin heavy diversity 1-20
ENSG00000237111,IGHJ3P,immunoglobulin heavy joining 3P (pseudogene)
ENSG00000237197,IGHD1-7,immunoglobulin heavy diversity 1-7
ENSG00000237547,IGHJ2P,immunoglobulin heavy joining 2P (pseudogene)
ENSG00000237592,IGKV1OR10-1,immunoglobulin kappa variable 1/OR10-1 (pseudogene)
ENSG00000239571,IGKV2D-30,immunoglobulin kappa variable 2D-30
ENSG00000239819,IGKV1D-8,immunoglobulin kappa variable 1D-8
ENSG00000239855,IGKV1-6,immunoglobulin kappa variable 1-6
ENSG00000239862,IGKV1-37,immunoglobulin kappa variable 1-37 (non-functional)
ENSG00000239951,IGKV3-20,immunoglobulin kappa variable 3-20
ENSG00000239961,LILRA4,leukocyte immunoglobulin like receptor A4
ENSG00000239975,IGKV1D-33,immunoglobulin kappa variable 1D-33
ENSG00000239998,LILRA2,leukocyte immunoglobulin like receptor A2
ENSG00000240041,IGHJ4,immunoglobulin heavy joining 4
ENSG00000240382,IGKV1-17,immunoglobulin kappa variable 1-17
ENSG00000240403,KIR3DL2,"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2"
ENSG00000240671,IGKV1-8,immunoglobulin kappa variable 1-8
ENSG00000240864,IGKV1-16,immunoglobulin kappa variable 1-16
ENSG00000241244,IGKV1D-16,immunoglobulin kappa variable 1D-16
ENSG00000241294,IGKV2-24,immunoglobulin kappa variable 2-24
ENSG00000241351,IGKV3-11,immunoglobulin kappa variable 3-11
ENSG00000241566,IGKV2D-24,immunoglobulin kappa variable 2D-24 (non-functional)
ENSG00000241755,IGKV1-9,immunoglobulin kappa variable 1-9
ENSG00000242019,KIR3DL3,"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3"
ENSG00000242076,IGKV1-33,immunoglobulin kappa variable 1-33
ENSG00000242371,IGKV1-39,immunoglobulin kappa variable 1-39
ENSG00000242472,IGHJ5,immunoglobulin heavy joining 5
ENSG00000242473,KIR2DP1,"killer cell immunoglobulin like receptor, two Ig domains pseudogene 1"
ENSG00000242534,IGKV2D-28,immunoglobulin kappa variable 2D-28
ENSG00000242580,IGKV1D-43,immunoglobulin kappa variable 1D-43
ENSG00000242766,IGKV1D-17,immunoglobulin kappa variable 1D-17
ENSG00000242887,IGHJ3,immunoglobulin heavy joining 3
ENSG00000243063,IGKV3-7,immunoglobulin kappa variable 3-7 (non-functional)
ENSG00000243238,IGKV2-30,immunoglobulin kappa variable 2-30
ENSG00000243264,IGKV2D-29,immunoglobulin kappa variable 2D-29
ENSG00000243284,VSIG8,V-set and immunoglobulin domain containing 8
ENSG00000243290,IGKV1-12,immunoglobulin kappa variable 1-12
ENSG00000243466,IGKV1-5,immunoglobulin kappa variable 1-5
ENSG00000243519,IGLVIVOR22-2,immunoglobulin lambda variable (IV)/OR22-2 (pseudogene)
ENSG00000243772,KIR2DL3,"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3"
ENSG00000244116,IGKV2-28,immunoglobulin kappa variable 2-28
ENSG00000244437,IGKV3-15,immunoglobulin kappa variable 3-15
ENSG00000244482,LILRA6,leukocyte immunoglobulin like receptor A6
ENSG00000244575,IGKV1-27,immunoglobulin kappa variable 1-27
ENSG00000250036,IGKV1D-37,immunoglobulin kappa variable 1D-37 (non-functional)
ENSG00000251039,IGKV2D-40,immunoglobulin kappa variable 2D-40
ENSG00000251546,IGKV1D-39,immunoglobulin kappa variable 1D-39
ENSG00000253120,IGLV2-34,immunoglobulin lambda variable 2-34 (pseudogene)
ENSG00000253126,IGLVI-56,immunoglobulin lambda variable (I)-56 (pseudogene)
ENSG00000253127,IGKV2D-36,immunoglobulin kappa variable 2D-36 (pseudogene)
ENSG00000253131,IGHV7-56,immunoglobulin heavy variable 7-56 (pseudogene)
ENSG00000253132,IGHV3-62,immunoglobulin heavy variable 3-62 (pseudogene)
ENSG00000253149,IGHVII-28-1,immunoglobulin heavy variable (II)-28-1 (pseudogene)
ENSG00000253152,IGLV3-17,immunoglobulin lambda variable 3-17 (pseudogene)
ENSG00000253158,IGKV3-31,immunoglobulin kappa variable 3-31 (pseudogene)
ENSG00000253169,IGHVII-65-1,immunoglobulin heavy variable (II)-65-1 (pseudogene)
ENSG00000253191,IGKV1D-32,immunoglobulin kappa variable 1D-32 (pseudogene)
ENSG00000253202,IGKV3-25,immunoglobulin kappa variable 3-25 (pseudogene)
ENSG00000253209,IGHV3-65,immunoglobulin heavy variable 3-65 (pseudogene)
ENSG00000253234,IGLV2-5,immunoglobulin lambda variable 2-5 (pseudogene)
ENSG00000253239,IGLVI-70,immunoglobulin lambda variable (I)-70 (pseudogene)
ENSG00000253240,IGHV3-36,immunoglobulin heavy variable 3-36 (pseudogene)
ENSG00000253241,IGHV3-50,immunoglobulin heavy variable 3-50 (pseudogene)
ENSG00000253242,IGLVIV-64,immunoglobulin lambda variable (IV)-64 (pseudogene)
ENSG00000253247,IGHV3-76,immunoglobulin heavy variable 3-76 (pseudogene)
ENSG00000253265,IGKV2-14,immunoglobulin kappa variable 2-14 (pseudogene)
ENSG00000253274,IGHV1-67,immunoglobulin heavy variable 1-67 (pseudogene)
ENSG00000253278,IGKV2-10,immunoglobulin kappa variable 2-10 (pseudogene)
ENSG00000253294,IGHVII-40-1,immunoglobulin heavy variable (II)-40-1 (pseudogene)
ENSG00000253303,IGHVIII-82,immunoglobulin heavy variable (III)-82 (pseudogene)
ENSG00000253310,IGHVIII-76-1,immunoglobulin heavy variable (III)-76-1 (pseudogene)
ENSG00000253325,IGHV7-34-1,immunoglobulin heavy variable 7-34-1 (pseudogene)
ENSG00000253329,IGLV3-30,immunoglobulin lambda variable 3-30 (pseudogene)
ENSG00000253338,IGLV3-29,immunoglobulin lambda variable 3-29 (pseudogene)
ENSG00000253345,IGHVII-22-1,immunoglobulin heavy variable (II)-22-1 (pseudogene)
ENSG00000253359,IGHV3-37,immunoglobulin heavy variable 3-37 (pseudogene)
ENSG00000253365,IGKV1D-22,immunoglobulin kappa variable 1D-22 (pseudogene)
ENSG00000253367,IGHVIII-25-1,immunoglobulin heavy variable (III)-25-1 (pseudogene)
ENSG00000253386,IGHVII-49-1,immunoglobulin heavy variable (II)-49-1 (pseudogene)
ENSG00000253387,IGHVIII-5-1,immunoglobulin heavy variable (III)-5-1 (pseudogene)
ENSG00000253412,IGHVIII-13-1,immunoglobulin heavy variable (III)-13-1 (pseudogene)
ENSG00000253435,IGKV2-4,immunoglobulin kappa variable 2-4 (pseudogene)
ENSG00000253440,IGHV3-33-2,immunoglobulin heavy variable 3-33-2 (pseudogene)
ENSG00000253441,IGHV3-25,immunoglobulin heavy variable 3-25 (pseudogene)
ENSG00000253448,IGLV3-6,immunoglobulin lambda variable 3-6 (pseudogene)
ENSG00000253451,IGLV2-28,immunoglobulin lambda variable 2-28 (pseudogene)
ENSG00000253458,IGHVII-15-1,immunoglobulin heavy variable (II)-15-1 (pseudogene)
ENSG00000253460,IGKV2OR22-3,immunoglobulin kappa variable 2/OR22-3 (pseudogene)
ENSG00000253461,IGKV1-35,immunoglobulin kappa variable 1-35 (pseudogene)
ENSG00000253462,IGHVIII-26-1,immunoglobulin heavy variable (III)-26-1 (pseudogene)
ENSG00000253465,IGHVIV-44-1,immunoglobulin heavy variable (IV)-44-1 (pseudogene)
ENSG00000253467,IGHV7-40,immunoglobulin heavy variable 7-40 (pseudogene)
ENSG00000253481,IGKV1OR22-1,immunoglobulin kappa variable 1/OR22-1 (pseudogene)
ENSG00000253482,IGHVII-26-2,immunoglobulin heavy variable (II)-26-2 (pseudogene)
ENSG00000253487,IGKV2-36,immunoglobulin kappa variable 2-36 (pseudogene)
ENSG00000253491,IGHVII-30-1,immunoglobulin heavy variable (II)-30-1 (pseudogene)
ENSG00000253497,IGKV1-13,immunoglobulin kappa variable 1-13
ENSG00000253501,IGKV3D-34,immunoglobulin kappa variable 3D-34 (pseudogene)
ENSG00000253545,IGHV3-52,immunoglobulin heavy variable 3-52 (pseudogene)
ENSG00000253546,IGLVVI-22-1,immunoglobulin lambda variable (VI)-22-1 (pseudogene)
ENSG00000253578,IGKV1-22,immunoglobulin kappa variable 1-22 (pseudogene)
ENSG00000253587,IGHV3-30-2,immunoglobulin heavy variable 3-30-2 (pseudogene)
ENSG00000253590,IGLV3-13,immunoglobulin lambda variable 3-13 (pseudogene)
ENSG00000253592,IGKV2-38,immunoglobulin kappa variable 2-38 (pseudogene)
ENSG00000253625,IGKV2-23,immunoglobulin kappa variable 2-23 (pseudogene)
ENSG00000253631,IGLV7-35,immunoglobulin lambda variable 7-35 (pseudogene)
ENSG00000253635,IGHVIII-67-3,immunoglobulin heavy variable (III)-67-3 (pseudogene)
ENSG00000253637,IGLVV-58,immunoglobulin lambda variable (V)-58 (pseudogene)
ENSG00000253674,IGHVII-78-1,immunoglobulin heavy variable (II)-78-1 (pseudogene)
