ensg,symbol,name
ENSG00000254308,IGLVIV-59,immunoglobulin lambda variable (IV)-59 (pseudogene)
ENSG00000254326,IGHV7-27,immunoglobulin heavy variable 7-27 (pseudogene)
ENSG00000254329,IGHVII-60-1,immunoglobulin heavy variable (II)-60-1 (pseudogene)
ENSG00000254345,IGKV2D-23,immunoglobulin kappa variable 2D-23 (pseudogene)
ENSG00000254355,IGLVI-68,immunoglobulin lambda variable (I)-68 (pseudogene)
ENSG00000254395,IGHV4-55,immunoglobulin heavy variable 4-55 (pseudogene)
ENSG00000254709,IGLL5,immunoglobulin lambda like polypeptide 5
ENSG00000259261,IGHV4OR15-8,immunoglobulin heavy variable 4/OR15-8 (non-functional)
ENSG00000259303,IGHV2OR16-5,immunoglobulin heavy variable 2/OR16-5 (non-functional)
ENSG00000259337,IGHV1OR15-2,immunoglobulin heavy variable 1/OR15-2 (pseudogene)
ENSG00000259490,IGHV3OR15-7,immunoglobulin heavy variable 3/OR15-7 (pseudogene)
ENSG00000259680,IGHV3OR16-17,immunoglobulin heavy variable 3/OR16-17 (non-functional)
ENSG00000259842,IGHV3OR16-16,immunoglobulin heavy variable 3/OR16-16 (pseudogene)
ENSG00000259852,IGHV1OR16-2,immunoglobulin heavy variable 1/OR16-2 (pseudogene)
ENSG00000259997,IGHV1OR16-4,immunoglobulin heavy variable 1/OR16-4 (pseudogene)
ENSG00000260048,IGHV1OR16-3,immunoglobulin heavy variable 1/OR16-3 (pseudogene)
ENSG00000261704,IGHV1OR16-1,immunoglobulin heavy variable 1/OR16-1 (pseudogene)
ENSG00000261834,IGHV3OR16-15,immunoglobulin heavy variable 3/OR16-15 (pseudogene)
ENSG00000264257,KIR3DP1,"killer cell immunoglobulin like receptor, three Ig domains pseudogene 1"
ENSG00000265243,IGLJCOR18,immunoglobulin lambda joining-constant/OR18 (pseudogene)
ENSG00000270185,IGHD1OR15-1B,immunoglobulin heavy diversity 1/OR15-1B (non-functional)
ENSG00000270187,IGKV1OR2-11,immunoglobulin kappa variable 1/OR2-11 (pseudogene)
ENSG00000270252,IGKV3OR2-5,immunoglobulin kappa variable 3/OR2-5 (pseudogene)
ENSG00000270318,IGHV3OR16-11,immunoglobulin heavy variable 3/OR16-11 (pseudogene)
ENSG00000270356,IGHV1OR15-4,immunoglobulin heavy variable 1/OR15-4 (pseudogene)
ENSG00000270450,IGKV2OR2-7,immunoglobulin kappa variable 2/OR2-7 (pseudogene)
ENSG00000270451,IGHD4OR15-4B,immunoglobulin heavy diversity 4/OR15-4B (non-functional)
ENSG00000270467,IGHV3OR16-12,immunoglobulin heavy variable 3/OR16-12 (non-functional)
ENSG00000270472,IGHV3OR16-9,immunoglobulin heavy variable 3/OR16-9 (non-functional)
ENSG00000270474,IGHV3-29,immunoglobulin heavy variable 3-29 (pseudogene)
ENSG00000270505,IGHV1OR15-1,immunoglobulin heavy variable 1/OR15-1 (non-functional)
ENSG00000270550,IGHV3-30,immunoglobulin heavy variable 3-30
ENSG00000270685,IGHV1OR15-6,immunoglobulin heavy variable 1/OR15-6 (pseudogene)
ENSG00000270748,IGKV2OR2-1,immunoglobulin kappa variable 2/OR2-1 (pseudogene)
ENSG00000270824,IGHD5OR15-5B,immunoglobulin heavy diversity 5/OR15-5B (non-functional)
ENSG00000270864,IGHV3OR16-6,immunoglobulin heavy variable 3/OR16-6 (pseudogene)
ENSG00000270961,IGHD5OR15-5A,immunoglobulin heavy diversity 5/OR15-5A (non-functional)
ENSG00000270999,IGKV1OR2-118,immunoglobulin kappa variable 1/OR2-118 (pseudogene)
ENSG00000271015,IGKV2OR2-7D,immunoglobulin kappa variable 2/OR2-7D (pseudogene)
ENSG00000271093,IGLCOR22-2,immunoglobulin lambda constant/OR22-2 (pseudogene)
ENSG00000271130,IGHV3OR16-8,immunoglobulin heavy variable 3/OR16-8 (non-functional)
ENSG00000271138,IGLVIVOR22-1,immunoglobulin lambda variable (IV)/OR22-1 (pseudogene)
ENSG00000271178,IGHV3OR16-13,immunoglobulin heavy variable 3/OR16-13 (non-functional)
ENSG00000271288,IGHV1OR15-3,immunoglobulin heavy variable 1/OR15-3 (pseudogene)
ENSG00000271317,IGHD4OR15-4A,immunoglobulin heavy diversity 4/OR15-4A (non-functional)
ENSG00000271336,IGHD1OR15-1A,immunoglobulin heavy diversity 1/OR15-1A (non-functional)
ENSG00000271351,IGKV1OR2-9,immunoglobulin kappa variable 1/OR2-9 (pseudogene)
ENSG00000271402,IGKV2OR2-2,immunoglobulin kappa variable 2/OR2-2 (pseudogene)
ENSG00000271569,IGKV1OR2-6,immunoglobulin kappa variable 1/OR2-6 (pseudogene)
ENSG00000271605,MILR1,mast cell immunoglobulin like receptor 1
ENSG00000271620,IGHV3OR16-7,immunoglobulin heavy variable 3/OR16-7 (pseudogene)
ENSG00000273962,IGKV2-40,immunoglobulin kappa variable 2-40
ENSG00000274143,KIR2DL5A,"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A"
ENSG00000274576,IGHV2-70,immunoglobulin heavy variable 2-70
